time,latitude,longitude,severity,place
2023-10-30T13:57:49.391Z,62.5832,-152.4345,1.5,"85 km NW of Skwentna, Alaska"
2023-10-30T13:43:03.730Z,33.3516667,-116.3605,2.01,"11 km N of Borrego Springs, CA"
2023-10-30T13:31:09.360Z,38.8336678,-122.8180008,1.04,"8 km NW of The Geysers, CA"
2023-10-30T13:19:56.260Z,38.793335,-122.7434998,0.98,"2 km NNE of The Geysers, CA"
2023-10-30T13:18:38.070Z,19.36366653,-155.2935028,1.97,"10 km SW of Volcano, Hawaii"
2023-10-30T13:11:46.730Z,38.8221664,-122.8085022,0.77,"7 km NW of The Geysers, CA"
2023-10-30T13:09:21.088Z,38.1441,-117.8731,2.5,"34 km SE of Mina, Nevada"
2023-10-30T13:07:49.249Z,61.4698,-149.8882,1.8,"6 km SSE of Big Lake, Alaska"
2023-10-30T12:56:15.530Z,38.8219986,-122.7651672,0.7,"4 km W of Cobb, CA"
2023-10-30T12:45:22.520Z,19.36100006,-155.2986603,2.28,"11 km SW of Volcano, Hawaii"
2023-10-30T12:34:53.228Z,58.1536,-155.4492,0.7,"87 km NW of Karluk, Alaska"
2023-10-30T12:31:38.030Z,33.4835014,-116.4228363,3.48,"23 km SSW of La Quinta, CA"
2023-10-30T12:29:58.182Z,40.4476,84.8014,4.1,"184 km SW of Korla, China"
2023-10-30T12:27:12.580Z,38.8221664,-122.7900009,1.04,"6 km NNW of The Geysers, CA"
2023-10-30T12:15:18.944Z,-3.1644,128.3601,4.4,"61 km NNE of Ambon, Indonesia"
2023-10-30T11:59:36.160Z,34.039,-117.2416667,1.29,"2 km ESE of Loma Linda, CA"
2023-10-30T11:55:54.477Z,4.8218,125.626,4.4,"Pulau-Pulau Sangihe, Indonesia"
2023-10-30T11:54:33.307Z,61.535,-150.2976,1.5,Southern Alaska
2023-10-30T11:47:27.500Z,34.6731667,-116.302,1.07,"14 km WSW of Ludlow, CA"
2023-10-30T11:44:01.695Z,6.8281,-73.0415,4.5,northern Colombia
2023-10-30T11:43:16.050Z,38.8375015,-122.809166,0.69,"8 km WNW of Cobb, CA"
2023-10-30T11:34:02.890Z,19.23333359,-155.386673,1.84000003,"10 km ENE of P_hala, Hawaii"
2023-10-30T10:56:56.777Z,63.8909,-149.2147,1.4,"12 km WNW of Healy, Alaska"
2023-10-30T10:40:09.170Z,35.4941667,-118.3878333,1.12,"14 km SE of Bodfish, CA"
2023-10-30T10:21:27.630Z,38.6850014,-122.5008316,1.42,"12 km SE of Middletown, CA"
2023-10-30T10:15:11.570Z,38.8344994,-122.8176651,0.71,"8 km NW of The Geysers, CA"
2023-10-30T10:12:09.510Z,38.8333321,-122.8125,0.72,"8 km W of Cobb, CA"
2023-10-30T10:00:54.980Z,38.8474998,-122.8151703,0.24,"8 km WNW of Cobb, CA"
2023-10-30T09:32:17.690Z,38.8286667,-122.7919998,0.7,"6 km W of Cobb, CA"
2023-10-30T09:29:24.740Z,61.775,-150.7443,1.8,"28 km NNW of Susitna, Alaska"
2023-10-30T09:04:08.698Z,57.9141,-155.7678,1.9,Alaska Peninsula
2023-10-30T08:49:46.927Z,-32.817,-70.2224,4.4,"35 km E of Los Andes, Chile"
2023-10-30T08:34:19.560Z,17.9785,-67.03483333,2.25,"1 km ENE of La Parguera, Puerto Rico"
2023-10-30T08:12:55.475Z,61.689,-150.0815,1.8,"6 km SSW of Willow, Alaska"
2023-10-30T08:09:50.040Z,-58.8242,-25.6033,5.1,South Sandwich Islands region
2023-10-30T08:00:43.490Z,34.6868333,-116.2818333,2.38,"12 km WSW of Ludlow, CA"
2023-10-30T07:33:40.962Z,61.4732,-151.6449,1.7,"47 km NW of Beluga, Alaska"
2023-10-30T07:31:24.970Z,34.3978333,-118.7135,1.43,"8 km ESE of Piru, CA"
2023-10-30T07:11:46.250Z,34.6801667,-116.2905,1.21,"13 km WSW of Ludlow, CA"
2023-10-30T07:08:28.441Z,-31.9442,-179.9901,4.5,Kermadec Islands region
2023-10-30T06:58:19.960Z,19.34783363,-155.2908325,1.72,"12 km SSW of Volcano, Hawaii"
2023-10-30T06:57:51.372Z,61.6425,-150.8509,1.8,Southern Alaska
2023-10-30T06:57:00.890Z,37.8966675,-122.2006683,1.28,"3 km NW of Orinda, CA"
2023-10-30T06:53:08.210Z,19.19149971,-155.5011597,2.28999996,"2 km WSW of P_hala, Hawaii"
2023-10-30T06:38:49.878Z,62.2589,-149.2792,1.4,"31 km ENE of Susitna North, Alaska"
2023-10-30T06:23:00.760Z,19.17900085,-155.4954987,1.85000002,"3 km SW of P_hala, Hawaii"
2023-10-30T05:54:42.076Z,62.1425,-148.0272,1.4,"42 km NNW of Glacier View, Alaska"
2023-10-30T05:38:57.900Z,33.7018333,-116.752,1.02,"5 km SW of Idyllwild, CA"
2023-10-30T05:36:34.427Z,64.5097,-149.3927,1.3,"15 km WSW of Nenana, Alaska"
2023-10-30T05:02:31.347Z,55.8168,164.4816,4.9,"133 km ESE of Ust�-Kamchatsk Staryy, Russia"
2023-10-30T05:01:34.070Z,17.91816667,-66.89533333,2.31,"6 km SSE of Gu�nica, Puerto Rico"
2023-10-30T04:50:20.540Z,38.8313332,-122.8184967,0.19,"8 km NW of The Geysers, CA"
2023-10-30T04:48:26.279Z,43.7744,147.8506,4.3,"90 km E of Shikotan, Russia"
2023-10-30T04:39:01.932Z,63.2537,-148.3879,1.8,"32 km ESE of Cantwell, Alaska"
2023-10-30T04:22:28.767Z,23.9177,142.0327,4.9,"Volcano Islands, Japan region"
2023-10-30T04:20:22.447Z,31.0437,-8.4488,4.3,"58 km WSW of Ouka�medene, Morocco"
